[22/05/2013 21:05:26] /goto GOD Giorox
[22/05/2013 21:07:00] /goto Loudaum
[22/05/2013 21:07:35] /ghost
[22/05/2013 21:17:16] /ghost
[22/05/2013 21:17:19] /ghost
[23/05/2013 00:24:24] /town Thais
[23/05/2013 00:24:56] /i sickle
[23/05/2013 00:25:36] /goto Mah Walker
[23/05/2013 00:26:11] /town Svargrond
[23/05/2013 00:26:47] /a 5
[23/05/2013 00:27:42] /a 8
[23/05/2013 00:27:52] /a 8
[23/05/2013 00:27:58] /a 8
[23/05/2013 00:28:05] /a 8
[23/05/2013 00:28:12] /a 8
[23/05/2013 00:28:35] /a 5
[23/05/2013 00:29:32] /a 5
[23/05/2013 00:29:54] /a 5
[23/05/2013 00:30:04] /a 3
[23/05/2013 00:30:08] /a 3
[23/05/2013 00:30:33] /a 3
[23/05/2013 00:31:22] /town Thais
[23/05/2013 00:33:41] /town yalahar
[23/05/2013 00:35:52] /town Fenrock
[23/05/2013 00:36:04] /goto Fenrock
[23/05/2013 00:36:33] /i gold
[23/05/2013 00:36:39] /a gold
[23/05/2013 00:36:48] /i gold
[23/05/2013 00:37:10] /i platinum
[23/05/2013 00:50:57] /addskill GOD Mendigo,experience 10000000000
[23/05/2013 00:50:58] /addskill GOD Mendigo,experience 10000000000
[23/05/2013 00:51:19] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:31] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:32] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:33] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:34] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:36] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:37] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:39] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:40] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:41] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:42] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:44] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:45] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:47] /addskill GOD Mendigo,magic level 100000
[23/05/2013 00:51:52] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:51:54] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:51:56] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:51:57] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:51:58] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:51:59] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:00] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:01] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:02] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:03] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:03] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:04] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:05] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:06] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:07] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:11] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:12] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:14] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:15] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:16] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:17] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:18] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:19] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:20] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:21] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:25] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:26] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:52:27] /addskill GOD Mendigo,magic level 100
[23/05/2013 00:53:58] /up
[23/05/2013 00:54:02] /up
[23/05/2013 00:56:11] /a 10
[23/05/2013 00:56:31] /town yalahar
[23/05/2013 00:58:01] /a 4
[23/05/2013 00:58:16] /a 4
[23/05/2013 01:02:34] /a 5
[23/05/2013 01:02:46] /a 5
[23/05/2013 01:02:52] /a 3
[23/05/2013 01:03:14] /a 3
[23/05/2013 01:03:41] /a 1
[23/05/2013 01:03:53] /a 3
[23/05/2013 01:04:00] /a 1
[23/05/2013 01:04:12] /i Winged Helmet
[23/05/2013 01:04:26] /a 3
[23/05/2013 01:04:42] /a 1
[23/05/2013 01:04:46] /a 5
[23/05/2013 01:06:20] /town thais
[23/05/2013 01:06:36] /i Great axe
[23/05/2013 01:10:08] /i Demonwing Axe
[23/05/2013 01:11:09] /i Demon Powered Shield
[23/05/2013 01:11:18] /i Demon Powered Shield
[23/05/2013 01:11:42] /i Blessed Shield
[23/05/2013 01:12:27] /i Magic Plate Armor
[23/05/2013 01:13:30] /i Golden Boots
[23/05/2013 01:13:45] /i Boots of Waterwalking
[23/05/2013 01:15:37] /i solar axe
[23/05/2013 01:17:35] /raid Undead
[23/05/2013 01:17:45] /raid pirates
[23/05/2013 01:18:04] /raid bugs Thais
[23/05/2013 01:23:52] /ghost
[23/05/2013 01:23:59] /ghost
[23/05/2013 09:04:27] /m dragon
[23/05/2013 09:04:59] /i Demon Helmet
[23/05/2013 09:05:34] /town Carlin
[23/05/2013 09:05:49] /town Thais
[23/05/2013 09:07:11] /m Demodras
[23/05/2013 12:19:47] /a 2
[23/05/2013 12:20:00] /owner GOD Mendigo
[23/05/2013 12:21:15] /i parcel
[23/05/2013 12:21:18] /i parcel
[23/05/2013 12:21:36] /i parcel
[23/05/2013 12:21:37] /i parcel
[23/05/2013 12:21:40] /i parcel
[23/05/2013 12:21:43] /i parcel
[23/05/2013 12:23:43] /i Horned Helmet
[23/05/2013 12:24:02] /i parcel
[23/05/2013 12:24:04] /i parcel
[23/05/2013 12:24:05] /i parcel
[23/05/2013 12:29:01] /i Dragon Throne
[23/05/2013 12:30:34] /i Demon Trophy
[23/05/2013 12:30:49] /i Demon Trophy
[23/05/2013 12:32:57] /r
[23/05/2013 12:33:03] /r
[23/05/2013 12:33:30] /i door
[23/05/2013 12:33:56] /r
[23/05/2013 12:34:02] /r
[23/05/2013 12:34:12] /r
[23/05/2013 12:34:17] /r
[23/05/2013 12:34:35] /i wall
[23/05/2013 12:36:14] /addskill Pegasus Saint,Magic Level 10
[23/05/2013 12:38:42] /n door
[23/05/2013 12:38:56] /n wall
[23/05/2013 12:39:00] /n wall
[23/05/2013 12:39:04] /n wall
[23/05/2013 12:41:45] /i 5154
[23/05/2013 12:41:53] /r
[23/05/2013 12:41:58] /i 5154
[23/05/2013 12:44:25] /ghost
[23/05/2013 12:44:35] /ghost
[23/05/2013 12:45:56] /raid Rat Thais
[23/05/2013 12:46:04] /raid Rats Thais
[23/05/2013 12:47:54] /raid cave rat Thais
[23/05/2013 12:48:08] /raid Cave Rat Thais
[23/05/2013 12:48:13] /raid Cave Rat Thai
[23/05/2013 12:48:25] /raid Cave Rat Thais
[23/05/2013 12:49:14] /raid Rat Thais
[23/05/2013 12:50:00] /raid Rat 
[23/05/2013 12:50:01] /raid Rat 
[23/05/2013 12:52:17] /goto Lerdaum
[23/05/2013 12:52:34] /a 3
[23/05/2013 12:52:59] /a 4
[23/05/2013 12:53:28] /a 2
[23/05/2013 12:53:51] /t
[23/05/2013 12:54:20] /town Thais
[23/05/2013 12:54:27] /raid Orc Thais
[23/05/2013 12:54:47] /goto Lezadaum
[23/05/2013 12:56:54] /goto johnhy walker
[23/05/2013 12:58:26] /addskill (GOD Mendigo),(Magic Level)
[23/05/2013 12:58:59] /addskill (GOD Mendigo),(Magic Level)
[23/05/2013 12:59:01] /addskill (GOD Mendigo),(Magic Level)
[23/05/2013 12:59:18] /addskill GOD Mendigo,Magic Level
[23/05/2013 12:59:23] /addskill GOD Mendigo,Magic Level
[23/05/2013 12:59:24] /addskill GOD Mendigo,Magic Level
[23/05/2013 12:59:31] /addskill GOD Mendigo,Magic Level 100
[23/05/2013 12:59:36] /addskill GOD Mendigo,Magic Level 100
[23/05/2013 12:59:42] /addskill GOD Mendigo, Magic Level 100
[23/05/2013 12:59:45] /addskill GOD Mendigo, Magic Level 100
[23/05/2013 13:02:53] /addskill Magic, GOD Mendigo = +30 de Magic 
[23/05/2013 13:03:58] /addskill Magic, GOD Mendigo = +30 de Magic 
[23/05/2013 13:04:06] /addskill Magic,GOD Mendigo = +30 de Magic 
[23/05/2013 13:04:15] /addskill Magic,GOD Mendigo=+30 de Magic 
[23/05/2013 13:04:31] /addskill GOD Mendigo
[23/05/2013 13:04:50] /addskill GOD Mendigo,Magic
[23/05/2013 13:04:55] /addskill GOD Mendigo,Ml
[23/05/2013 13:04:58] /addskill GOD Mendigo,Ml
[23/05/2013 13:05:04] /addskill GOD Mendigo,Ml
[23/05/2013 13:05:06] /addskill GOD Mendigo,Ml
[23/05/2013 13:05:18] /addskill GOD Mendigo,Stamina
[23/05/2013 13:05:27] /addskill GOD Mendigo,Magic Level
[23/05/2013 13:05:28] /addskill GOD Mendigo,Magic Level
[23/05/2013 13:06:26] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:30] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:31] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:32] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:32] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:36] /addskill GOD Mendigo,magic level = 100
[23/05/2013 13:06:39] /addskill GOD Mendigo,magic level = 100
[23/05/2013 13:06:40] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:41] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:42] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:43] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:43] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:44] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:45] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:45] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:45] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:46] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:47] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:47] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:47] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:48] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:49] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:50] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:51] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:52] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:52] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:53] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:53] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:54] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:55] /addskill GOD Mendigo,magic level
[23/05/2013 13:06:55] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:09] /goto johnnie Walker
[23/05/2013 13:07:18] /goto Lezadaum
[23/05/2013 13:07:34] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:34] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:35] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:36] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:36] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:37] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:38] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:38] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:39] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:39] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:40] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:40] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:41] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:42] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:43] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:43] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:44] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:44] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:45] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:45] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:46] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:47] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:48] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:49] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:49] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:50] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:50] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:50] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:51] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:51] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:52] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:52] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:53] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:53] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:54] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:55] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:56] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:56] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:57] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:57] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:58] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:59] /addskill GOD Mendigo,magic level
[23/05/2013 13:07:59] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:00] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:00] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:01] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:01] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:02] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:02] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:03] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:04] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:05] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:05] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:06] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:06] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:07] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:07] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:08] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:08] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:09] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:10] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:10] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:11] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:13] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:13] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:14] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:15] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:15] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:16] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:16] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:17] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:17] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:18] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:19] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:20] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:21] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:21] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:22] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:23] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:24] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:24] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:25] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:29] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:30] /addskill GOD Mendigo,magic level
[23/05/2013 13:08:31] /addskill GOD Mendigo,magic level
[23/05/2013 13:09:36] /m Orshaball
[23/05/2013 13:09:59] /m Demodras
[23/05/2013 13:11:31] /addskill GOD Mendigo,level
[23/05/2013 13:11:34] /addskill GOD Mendigo,level
[23/05/2013 13:11:37] /addskill GOD Mendigo,level
[23/05/2013 13:11:40] /addskill GOD Mendigo,level
[23/05/2013 13:11:40] /addskill GOD Mendigo,level
[23/05/2013 13:11:41] /addskill GOD Mendigo,level
[23/05/2013 13:11:43] /addskill GOD Mendigo,level
[23/05/2013 13:11:43] /addskill GOD Mendigo,level
[23/05/2013 13:11:44] /addskill GOD Mendigo,level
[23/05/2013 13:11:45] /addskill GOD Mendigo,level
[23/05/2013 13:11:46] /addskill GOD Mendigo,level
[23/05/2013 13:11:47] /addskill GOD Mendigo,level
[23/05/2013 13:11:47] /addskill GOD Mendigo,level
[23/05/2013 13:11:48] /addskill GOD Mendigo,level
[23/05/2013 13:11:49] /addskill GOD Mendigo,level
[23/05/2013 13:11:50] /addskill GOD Mendigo,level
[23/05/2013 13:11:50] /addskill GOD Mendigo,level
[23/05/2013 13:11:51] /addskill GOD Mendigo,level
[23/05/2013 13:11:52] /addskill GOD Mendigo,level
[23/05/2013 13:11:53] /addskill GOD Mendigo,level
[23/05/2013 13:11:54] /addskill GOD Mendigo,level
[23/05/2013 13:11:54] /addskill GOD Mendigo,level
[23/05/2013 13:11:55] /addskill GOD Mendigo,level
[23/05/2013 13:11:55] /addskill GOD Mendigo,level
[23/05/2013 13:11:56] /addskill GOD Mendigo,level
[23/05/2013 13:11:57] /addskill GOD Mendigo,level
[23/05/2013 13:11:57] /addskill GOD Mendigo,level
[23/05/2013 13:11:58] /addskill GOD Mendigo,level
[23/05/2013 13:11:59] /addskill GOD Mendigo,level
[23/05/2013 13:12:00] /addskill GOD Mendigo,level
[23/05/2013 13:12:00] /addskill GOD Mendigo,level
[23/05/2013 13:12:01] /addskill GOD Mendigo,level
[23/05/2013 13:12:02] /addskill GOD Mendigo,level
[23/05/2013 13:12:02] /addskill GOD Mendigo,level
[23/05/2013 13:12:03] /addskill GOD Mendigo,level
[23/05/2013 13:12:03] /addskill GOD Mendigo,level
[23/05/2013 13:12:04] /addskill GOD Mendigo,level
[23/05/2013 13:12:04] /addskill GOD Mendigo,level
[23/05/2013 13:12:05] /addskill GOD Mendigo,level
[23/05/2013 13:12:06] /addskill GOD Mendigo,level
[23/05/2013 13:12:07] /addskill GOD Mendigo,level
[23/05/2013 13:12:07] /addskill GOD Mendigo,level
[23/05/2013 13:12:08] /addskill GOD Mendigo,level
[23/05/2013 13:12:09] /addskill GOD Mendigo,level
[23/05/2013 13:12:30] /addskill GOD Mendigo,level
[23/05/2013 13:12:30] /addskill GOD Mendigo,level
[23/05/2013 13:12:31] /addskill GOD Mendigo,level
[23/05/2013 13:12:32] /addskill GOD Mendigo,level
[23/05/2013 13:12:32] /addskill GOD Mendigo,level
[23/05/2013 13:12:33] /addskill GOD Mendigo,level
[23/05/2013 13:12:33] /addskill GOD Mendigo,level
[23/05/2013 13:12:34] /addskill GOD Mendigo,level
[23/05/2013 13:12:35] /addskill GOD Mendigo,level
[23/05/2013 13:12:35] /addskill GOD Mendigo,level
[23/05/2013 13:12:36] /addskill GOD Mendigo,level
[23/05/2013 13:12:36] /addskill GOD Mendigo,level
[23/05/2013 13:12:37] /addskill GOD Mendigo,level
[23/05/2013 13:12:38] /addskill GOD Mendigo,level
[23/05/2013 13:12:38] /addskill GOD Mendigo,level
[23/05/2013 13:12:38] /addskill GOD Mendigo,level
[23/05/2013 13:12:39] /addskill GOD Mendigo,level
[23/05/2013 13:12:40] /addskill GOD Mendigo,level
[23/05/2013 13:12:40] /addskill GOD Mendigo,level
[23/05/2013 13:12:41] /addskill GOD Mendigo,level
[23/05/2013 13:12:41] /addskill GOD Mendigo,level
[23/05/2013 13:12:42] /addskill GOD Mendigo,level
[23/05/2013 13:12:43] /addskill GOD Mendigo,level
[23/05/2013 13:12:43] /addskill GOD Mendigo,level
[23/05/2013 13:12:43] /addskill GOD Mendigo,level
[23/05/2013 13:12:45] /addskill GOD Mendigo,level
[23/05/2013 13:12:46] /addskill GOD Mendigo,level
[23/05/2013 13:12:47] /addskill GOD Mendigo,level
[23/05/2013 13:12:48] /addskill GOD Mendigo,level
[23/05/2013 13:12:49] /addskill GOD Mendigo,level
[23/05/2013 13:12:50] /addskill GOD Mendigo,level
[23/05/2013 13:12:51] /addskill GOD Mendigo,level
[23/05/2013 13:12:52] /addskill GOD Mendigo,level
[23/05/2013 13:12:53] /addskill GOD Mendigo,level
[23/05/2013 13:12:55] /addskill GOD Mendigo,level
[23/05/2013 13:12:55] /addskill GOD Mendigo,level
[23/05/2013 13:12:56] /addskill GOD Mendigo,level
[23/05/2013 13:12:57] /addskill GOD Mendigo,level
[23/05/2013 13:12:58] /addskill GOD Mendigo,level
[23/05/2013 13:12:58] /addskill GOD Mendigo,level
